target,mean_hamming,std_hamming,mean_exact,mean_f1_micro,mean_f1_macro,mean_precision_micro,mean_recall_micro,mean_uncertainty
GDS,0.1455217008327995,0.005684186567521766,0.5638813260730302,0.5636267921882068,0.40255975043640413,0.5633733895650936,0.5638813260730302,0.02413369230926037
GDS_R1,0.07029681827888105,0.01310146572250578,0.8945547725816784,0.8945547725816784,0.6845503019174136,0.8945547725816784,0.8945547725816784,0.026311572268605234
GDS_R2,0.18353352551783045,0.025904962392441104,0.7238068545803973,0.7249542456080779,0.6572232431686241,0.7243187593423019,0.7255925688661116,0.042537995427846906
GDS_R3,0.09247477578475335,0.022774830764948455,0.9070787956438181,0.9075580352238373,0.7922562857882945,0.9071462559612783,0.9079716527866752,0.0454984225332737
GDS_R4,0.11230381165919283,0.006645037199151955,0.829312139654068,0.8318914245658962,0.5051898497421443,0.8300345707317621,0.8337764253683536,0.037582534924149515
GDS_R5,0.15251975229553705,0.0035755417631651992,0.768541800128123,0.7718336599398944,0.4996929871515272,0.7697986757241928,0.7738989429852658,0.05038040280342102
